主题,单词,中文释义,词组/搭配
动作与状态,go,去；走,go to school
动作与状态,come,来,come here
动作与状态,take,拿；带；花费,take a photo
动作与状态,bring,带来,bring ... to ...
动作与状态,get,得到；到达；变得,get up 起床
动作与状态,put,放,put on 穿上
动作与状态,give,给,give ... to ...
动作与状态,send,发送；寄,send an email
动作与状态,carry,携带,carry a bag
动作与状态,walk,走；散步,walk to school
动作与状态,run,跑,run fast
动作与状态,jump,跳,jump high
动作与状态,sit,坐,sit down
动作与状态,stand,站；站立,stand up
动作与状态,lie,躺；位于,lie down
动作与状态,hold,握住；持有,hold on 等一下
动作与状态,catch,抓住；接住,catch a ball
动作与状态,throw,扔；投,throw away
动作与状态,push,推,push a door
动作与状态,pull,拉,pull open
动作与状态,lift,举起；抬起,lift up
动作与状态,drop,掉落；掉下,drop out 退出
动作与状态,look,看,look at
动作与状态,see,看见,see a movie
动作与状态,watch,观看,watch TV
动作与状态,hear,听见,hear from 收到……来信
动作与状态,listen,听,listen to
动作与状态,say,说,he/she says
动作与状态,tell,告诉,tell a story
动作与状态,speak,说话；讲,speak English
动作与状态,talk,谈话；交谈,talk to/with
动作与状态,work,工作,work hard
动作与状态,play,玩；演奏,play games
动作与状态,help,帮助,help with
动作与状态,try,尝试,try to do
动作与状态,practice,练习,practice English
动作与状态,think,想；认为,think about
动作与状态,know,知道；认识,know about
动作与状态,understand,理解,understand why
动作与状态,remember,记住,remember to do
动作与状态,forget,忘记,forget to do
动作与状态,decide,决定,decide to do
动作与状态,choose,选择,choose from
动作与状态,make,做；制作,make a cake
动作与状态,do,做,do homework
动作与状态,build,建造；建立,build a house
动作与状态,draw,画；绘制,draw a picture
动作与状态,change,改变；变化,change one's mind
动作与状态,become,变得；成为,become famous
动作与状态,turn,转动；变成,turn on/off
动作与状态,grow,成长；种植,grow up
动作与状态,start,开始,start to do
动作与状态,begin,开始,begin with
动作与状态,end,结束；结尾,at the end of
动作与状态,finish,完成,finish doing
动作与状态,stop,停止,stop doing
动作与状态,continue,继续,continue to do
动作与状态,wait,等待,wait for
动作与状态,move,移动；搬家,move to
动作与状态,travel,旅行,travel around
动作与状态,leave,离开；留下,leave for
动作与状态,arrive,到达,arrive at/in
动作与状态,return,返回；归还,return to
动作与状态,meet,遇见；见面,meet friends
动作与状态,visit,拜访；参观,visit a museum
动作与状态,call,打电话；称呼,call ... up
动作与状态,invite,邀请,invite ... to ...
动作与状态,welcome,欢迎,welcome to
动作与状态,rest,休息,have a rest
动作与状态,relax,放松,relax oneself
动作与状态,enjoy,享受；喜爱,enjoy doing
动作与状态,want,想要,want to do
动作与状态,need,需要,need to do
动作与状态,hope,希望,hope to do
动作与状态,open,打开,open the door
动作与状态,close,关闭,close the window
动作与状态,lock,锁上,lock the door
动作与状态,buy,买,buy ... for ...
动作与状态,sell,卖,sell ... to ...
动作与状态,pay,付钱,pay for
动作与状态,cost,花费（钱）,cost much
动作与状态,spend,花费（时间/钱）,spend time on
动作与状态,save,节省；存,save money
动作与状态,prepare,准备,prepare for
动作与状态,clean,打扫；清洁,clean the room
动作与状态,wash,洗,wash hands
动作与状态,tidy,整理,tidy up
动作与状态,fix,修理,fix a bike
动作与状态,repair,修补,repair the road
动作与状态,break,打破；损坏,break down
动作与状态,lose,丢失；输,lose one's way
动作与状态,find,找到,find out
动作与状态,agree,同意,agree with
动作与状态,believe,相信,believe in
动作与状态,realize,意识到,realize that
动作与状态,search,搜索,search for
动作与状态,discover,发现,discover a new world
动作与状态,succeed,成功,succeed in
动作与状态,fail,失败,fail to do
动作与状态,win,赢,win the game
动作与状态,beat,打败,beat ... in
动作与状态,follow,跟随；遵守,follow the rule
动作与状态,lead,带领,lead to 导致
动作与状态,join,加入,join the club
动作与状态,connect,连接,connect ... with ...
动作与状态,separate,分开；分离,separate from
动作与状态,copy,复制；抄写,copy down
动作与状态,repeat,重复,repeat after
动作与状态,press,按；压,press the button
动作与状态,touch,触摸,touch on
动作与状态,feel,感觉；触摸,feel like
动作与状态,smell,闻；气味,smell nice
动作与状态,taste,品尝；味道,taste good
动作与状态,show,展示；表明,show ... to ...
动作与状态,mean,意思是；意味着,mean to do
动作与状态,suggest,建议,suggest doing
动作与状态,explain,解释,explain ... to ...
动作与状态,accept,接受,accept ... as ...
动作与状态,refuse,拒绝,refuse to do
动作与状态,allow,允许,allow ... to do
动作与状态,share,分享,share ... with ...
动作与状态,borrow,借入,borrow ... from ...
动作与状态,lend,借出,lend ... to ...
基础形容词,big,大的,a big house
基础形容词,small,小的,a small dog
基础形容词,large,大的；巨大的,a large number of
基础形容词,tiny,极小的,a tiny insect
基础形容词,long,长的；久的,long time
基础形容词,short,短的；矮的,a short time
基础形容词,tall,高的,a tall man
基础形容词,high,高的；高级的,high school
基础形容词,low,低的；矮的,low price
基础形容词,wide,宽的；广泛的,a wide road
基础形容词,narrow,狭窄的,a narrow path
基础形容词,deep,深的,deep water
基础形容词,shallow,浅的,shallow water
基础形容词,thick,厚的；浓的,thick book
基础形容词,thin,薄的；瘦的,thin paper
基础形容词,heavy,重的,a heavy box
基础形容词,light,轻的；浅色的,light blue
基础形容词,fast,快的,a fast car
基础形容词,slow,慢的,a slow walk
基础形容词,quick,快的；敏捷的,quick lunch
基础形容词,early,早的；早期的,early morning
基础形容词,late,迟的；晚的,be late
基础形容词,good,好的,a good idea
基础形容词,bad,坏的；糟糕的,a bad day
基础形容词,nice,好的；令人愉快的,nice to meet you
基础形容词,great,很棒的；伟大的,great fun
基础形容词,excellent,极好的,excellent job
基础形容词,wonderful,极好的,wonderful time
基础形容词,perfect,完美的,perfect answer
基础形容词,terrible,糟糕的；可怕的,terrible accident
基础形容词,awful,糟糕的,awful weather
基础形容词,fine,好的；健康的,I am fine
基础形容词,new,新的,a new book
基础形容词,old,旧的；老的,an old man
基础形容词,young,年轻的,young people
基础形容词,fresh,新鲜的；新做的,fresh fruit
基础形容词,clean,干净的；清洁的,clean water
基础形容词,dirty,脏的,dirty hands
基础形容词,beautiful,美丽的,a beautiful girl
基础形容词,pretty,漂亮的,a pretty dress
基础形容词,ugly,丑陋的,an ugly duck
基础形容词,cute,可爱的,a cute baby
基础形容词,lovely,可爱的；令人愉快的,a lovely day
基础形容词,interesting,有趣的,an interesting book
基础形容词,boring,无聊的；乏味的,a boring film
基础形容词,exciting,令人兴奋的,exciting news
基础形容词,funny,滑稽的；有趣的,a funny story
基础形容词,difficult,困难的,a difficult question
基础形容词,easy,容易的,an easy job
基础形容词,simple,简单的,simple English
基础形容词,hard,困难的；硬的,a hard life
基础形容词,soft,软的,soft voice
基础形容词,important,重要的,important meeting
基础形容词,necessary,必要的,if necessary
基础形容词,useful,有用的,a useful tool
基础形容词,useless,无用的,a useless idea
基础形容词,right,正确的；对的,the right answer
基础形容词,wrong,错误的；错的,a wrong answer
基础形容词,true,真的；真实的,a true story
基础形容词,false,假的,false news
基础形容词,real,真实的,real life
基础形容词,sure,确信的,be sure of
基础形容词,certain,肯定的,be certain of
基础形容词,safe,安全的,be safe
基础形容词,dangerous,危险的,a dangerous animal
基础形容词,possible,可能的,if possible
基础形容词,impossible,不可能的,an impossible task
基础形容词,rich,富有的,rich in 富含
基础形容词,poor,贫穷的；可怜的,a poor family
基础形容词,expensive,昂贵的,an expensive car
基础形容词,cheap,便宜的,a cheap hotel
