主题,单词,中文释义,词组/搭配
旅行与交通,travel,旅行,travel around the world
旅行与交通,trip,旅行；行程,a day trip
旅行与交通,journey,旅程；行程,a long journey
旅行与交通,voyage,航行；航海,on a voyage
旅行与交通,tour,旅游；巡回,on tour
旅行与交通,tourist,游客；观光客,a foreign tourist
旅行与交通,guide,导游；指南,a tour guide
旅行与交通,passport,护照,show one's passport
旅行与交通,visa,签证,apply for a visa
旅行与交通,ticket,票；券,a bus ticket
旅行与交通,airline,航空公司,an international airline
旅行与交通,flight,航班；飞行,flight number
旅行与交通,airport,机场,at the airport
旅行与交通,plane,飞机,by plane
旅行与交通,aircraft,飞机；航空器,an aircraft carrier
旅行与交通,helicopter,直升机,by helicopter
旅行与交通,ship,船；舰,by ship
旅行与交通,boat,小船；小舟,on a boat
旅行与交通,yacht,游艇；快艇,a sailing yacht
旅行与交通,ferry,渡船,by ferry
旅行与交通,subway,地铁,by subway
旅行与交通,train,火车；列车,by train
旅行与交通,station,车站；站,at the station
旅行与交通,bus,公共汽车,by bus
旅行与交通,coach,长途汽车,by coach
旅行与交通,taxi,出租车；的士,by taxi
旅行与交通,car,汽车；轿车,by car
旅行与交通,truck,卡车；货车,a heavy truck
旅行与交通,van,厢式货车；面包车,a delivery van
旅行与交通,bicycle,自行车；脚踏车,by bicycle
旅行与交通,bike,自行车；摩托车,ride a bike
旅行与交通,motorcycle,摩托车,by motorcycle
旅行与交通,scooter,滑板车；小型摩托车,ride a scooter
旅行与交通,wheel,车轮；轮子,a bicycle wheel
旅行与交通,road,路；道路,on the road
旅行与交通,street,街道；街,on the street
旅行与交通,avenue,大街；林荫道,on Fifth Avenue
旅行与交通,lane,小巷；车道,a fast lane
旅行与交通,bridge,桥,across a bridge
旅行与交通,tunnel,隧道；地下道,go through a tunnel
旅行与交通,highway,公路；干道,on the highway
旅行与交通,railway,铁路；铁道,by railway
旅行与交通,track,轨道；跑道,a railway track
旅行与交通,crossing,十字路口；人行横道,at the crossing
旅行与交通,traffic,交通；车流,traffic jam
旅行与交通,map,地图,a map of China
旅行与交通,compass,指南针,a magnetic compass
